# Source:          Meteostat (https://meteostat.net/).
# Raw data provided by NOAA (https://www.noaa.gov/), DWD (https://www.dwd.de/) and others (https://dev.meteostat.net/docs/sources.html).
date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-02-01,10.9,7.1,12.6,6.7,0,234.2,22.3,50.8,1002.0,0
2020-02-02,7.1,5.2,8.7,7.1,0,260.0,19.4,53.6,1005.1,0
2020-02-03,7.1,5.0,9.8,3.2,0,264.2,15.5,38.2,1006.6,3
2020-02-04,5.1,3.3,6.5,1.7,0,287.9,17.6,51.8,1006.2,51
2020-02-05,3.1,1.0,5.4,0.0,0,308.3,16.6,47.5,1028.6,442
2020-02-06,4.6,2.1,6.6,0.0,0,272.9,17.3,35.3,1028.1,14
2020-02-07,5.7,4.7,6.5,0.0,0,227.5,6.8,24.1,1029.4,0
2020-02-08,5.4,1.4,9.0,0.0,0,172.1,13.7,33.5,1023.7,443
2020-02-09,9.6,5.5,13.9,8.3,0,193.8,25.9,72.7,1009.0,333
2020-02-10,7.1,3.7,14.1,3.8,0,242.1,32.8,81.4,990.0,9
2020-02-11,4.8,2.7,6.9,0.3,0,251.3,37.8,84.6,995.6,0
2020-02-12,4.3,2.4,6.6,0.0,0,254.2,35.6,68.0,1006.7,24
2020-02-13,3.8,1.2,5.9,0.8,0,192.9,19.1,46.4,1009.7,202
2020-02-14,3.9,0.9,5.7,0.0,0,270.0,6.1,21.6,1015.9,0
2020-02-15,5.9,1.2,10.5,0.0,0,190.0,14.8,37.1,1020.8,360
2020-02-16,12.0,7.3,16.1,1.1,0,193.8,25.2,70.2,1007.2,20
2020-02-17,9.6,6.6,11.1,0.0,0,235.0,29.2,67.3,1011.4,45
2020-02-18,6.8,3.6,7.9,2.8,0,243.8,26.6,70.9,1016.9,64
2020-02-19,5.4,2.1,7.3,5.7,0,247.9,23.0,71.6,1013.6,85
2020-02-20,5.1,1.2,7.5,4.5,0,204.2,18.0,48.6,1016.4,32
2020-02-21,6.1,3.7,8.0,0.0,0,250.4,25.2,68.0,1018.7,54
2020-02-22,8.6,5.9,12.2,0.7,0,228.8,31.0,75.2,1015.3,51
2020-02-23,6.7,3.7,8.4,14.8,0,251.3,22.7,58.0,1008.6,0
2020-02-24,5.3,3.5,7.8,6.3,0,237.9,22.3,50.8,1013.0,2
2020-02-25,7.9,3.1,10.5,1.4,0,243.8,24.1,67.3,996.2,190
2020-02-26,2.8,1.1,5.1,1.6,0,246.7,14.4,35.3,994.6,0
2020-02-27,3.4,1.5,6.1,0.2,0,243.8,13.3,51.1,1001.1,94
2020-02-28,3.7,-0.7,8.4,2.6,0,261.7,17.3,46.4,1010.9,190
2020-02-29,7.1,1.5,12.1,1.3,0,186.7,21.6,47.5,998.1,177
2020-03-01,7.3,4.4,10.3,3.9,0,207.1,20.5,69.1,996.3,267
2020-03-02,6.3,3.8,9.4,0.6,0,172.9,11.9,41.4,993.9,106
2020-03-03,4.4,0.6,6.8,0.2,0,218.8,10.4,37.8,999.0,0
2020-03-04,4.1,-0.7,8.4,0.0,0,251.7,13.3,33.5,1009.5,250
2020-03-05,5.6,0.7,10.4,2.6,0,148.8,11.9,33.8,1003.1,279
2020-03-06,5.4,3.3,7.1,4.3,0,128.3,13.7,35.6,993.6,0
2020-03-07,4.2,0.6,6.8,0.0,0,284.2,16.2,43.2,1011.4,1
2020-03-08,5.4,0.1,10.0,0.0,0,187.5,13.0,33.8,1015.7,89
2020-03-09,7.1,3.3,10.2,3.1,0,225.0,10.8,34.6,1011.1,40
2020-03-10,6.4,3.1,10.8,9.8,0,202.9,20.5,82.8,1005.6,23
2020-03-11,9.9,7.1,13.1,0.7,0,253.3,22.3,74.2,1007.4,293
2020-03-12,9.9,4.9,13.2,2.3,0,237.5,29.9,82.1,1005.5,205
2020-03-13,5.9,2.4,10.2,0.3,0,254.6,30.2,76.7,1011.0,84
2020-03-14,3.2,-3.5,8.7,0.0,0,222.5,7.2,26.6,1024.4,604
2020-03-15,6.3,-0.3,12.3,0.0,0,161.3,20.2,49.3,1020.6,613
2020-03-16,9.6,3.5,16.7,0.0,0,229.2,10.4,33.5,1019.5,605
2020-03-17,9.2,2.0,15.2,0.0,0,229.6,7.9,40.0,1027.1,323
2020-03-18,11.6,5.5,17.2,0.0,0,222.9,13.7,40.7,1025.6,562
2020-03-19,10.9,7.9,14.0,0.0,0,223.3,10.4,26.6,1025.0,55
2020-03-20,7.9,5.2,10.0,0.0,0,89.2,9.0,36.4,1026.3,0
2020-03-21,4.2,0.2,7.2,0.0,0,47.1,16.2,46.8,1031.4,524
2020-03-22,2.3,-1.9,6.2,0.0,0,55.0,11.9,39.6,1037.2,661
2020-03-23,2.0,-3.0,6.2,0.0,0,80.4,9.7,31.3,1039.9,698
2020-03-24,3.3,-3.1,8.4,0.0,0,109.6,11.5,31.0,1037.5,702
2020-03-25,4.8,-2.1,10.0,0.0,0,97.5,15.5,39.6,1033.0,706
2020-03-26,6.1,-0.1,11.3,0.0,0,81.3,14.0,42.5,1028.3,679
2020-03-27,9.9,3.8,16.4,0.0,0,60.0,10.4,28.4,1023.4,662
2020-03-28,8.2,1.1,15.1,0.0,0,327.9,10.8,38.2,1019.4,658
2020-03-29,2.9,-2.1,5.5,0.5,0,186.4,15.1,54.4,1023.5,43
2020-03-30,-0.4,-7.1,3.7,0.6,0,275.4,12.6,39.6,1027.3,150
2020-03-31,1.4,-3.0,5.4,0.0,0,181.7,8.3,25.9,1029.7,319
2020-04-01,4.3,-3.7,10.3,0.0,0,260.8,17.3,49.3,1020.1,444
2020-04-02,7.3,4.5,10.9,0.0,0,255.4,21.2,48.2,1010.6,188
2020-04-03,7.2,2.8,11.6,0.0,0,279.2,19.4,48.2,1012.7,385
2020-04-04,7.9,2.6,12.8,0.0,0,264.6,6.5,29.5,1025.7,684
2020-04-05,10.6,1.8,16.8,0.0,0,112.9,16.2,41.4,1029.3,749
2020-04-06,13.7,5.6,22.1,0.0,0,140.0,15.5,43.9,1024.1,752
2020-04-07,13.9,4.6,19.9,0.0,0,216.3,10.1,27.7,1029.9,750
2020-04-08,14.4,6.8,22.6,0.0,0,132.9,8.3,31.0,1027.2,746
2020-04-09,12.0,3.7,18.9,0.0,0,299.2,11.5,38.9,1023.5,521
2020-04-10,9.6,0.6,16.0,0.0,0,279.2,7.9,26.6,1026.3,737
2020-04-11,9.4,-1.0,16.2,0.0,0,206.7,4.7,18.4,1026.3,761
2020-04-12,14.6,3.4,24.1,1.6,0,187.1,8.6,37.1,1015.2,758
2020-04-13,8.3,3.2,12.6,0.0,0,301.7,17.3,48.6,1014.2,399
2020-04-14,6.1,0.2,10.8,0.0,0,298.3,16.9,46.8,1021.4,655
2020-04-15,9.3,4.2,15.6,0.0,0,266.7,20.5,48.2,1021.2,480
2020-04-16,11.8,3.5,18.0,0.0,0,272.1,11.9,32.8,1016.7,708
2020-04-17,11.5,2.8,17.8,0.0,0,165.0,7.2,27.0,1017.9,682
2020-04-18,11.4,5.0,17.2,0.0,0,67.5,10.4,34.6,1018.6,797
2020-04-19,9.4,5.6,13.6,0.0,0,58.8,15.5,43.9,1022.8,763
2020-04-20,10.6,3.8,15.8,0.0,0,73.8,14.8,42.1,1026.5,800
2020-04-21,11.7,5.3,17.5,0.0,0,78.8,17.3,50.8,1026.4,800
2020-04-22,13.1,6.1,18.7,0.0,0,65.4,11.9,38.2,1026.1,801
2020-04-23,14.8,6.0,21.3,0.0,0,82.1,6.5,27.7,1022.0,799
2020-04-24,13.8,6.0,22.0,0.0,0,247.9,13.3,42.1,1008.6,577
2020-04-25,11.2,7.4,15.8,0.0,0,314.2,13.7,44.3,1009.9,189
2020-04-26,12.0,3.4,18.2,0.0,0,276.3,6.8,31.3,1011.1,559
2020-04-27,15.0,4.2,22.7,0.0,0,170.0,6.8,36.4,1007.9,717
